inquiry_type,context_retention_score,response_date,model_name
legal,85.5,2024-04-03,GPT-4
finance,78.2,2024-04-05,GPT-4
tech,92.7,2024-04-08,GPT-4
health,80,2024-04-10,GPT-4
engineering,88.9,2024-04-12,GPT-4
legal,90.1,2024-04-15,GPT-4
finance,75.5,2024-04-18,GPT-4
tech,95.4,2024-04-20,GPT-4
health,82.3,2024-04-22,GPT-4
engineering,87.6,2024-04-25,GPT-4
legal,84,2024-04-27,GPT-4
engineering,89.3,2024-04-28,GPT-4
tech,91,2024-04-29,GPT-4
finance,76.8,2024-04-30,GPT-4
finance,65,2024-04-11,GPT-3.5
tech,88.8,2024-05-01,GPT-4
legal,79.9,2024-03-30,GPT-4
